"Number","Fingering"
"1","123456LC#LC"
"2","2456D#"
"3","2456"
"4","23D#"
"5","2356"
"6","1CD#"
"7","13456LC#LC"
"8","2BbD#"
"9a","1346D#"
"9b","12346D#"
"10","2456D#"
"11","1345FD#"
"12","12345FD#"
"13","1CD#"
"14","2345D#"
"15","2BbD#"
"16","13456LC#LC"
"17","1Bb35LB"
"18","123456LC#"
"19","D#"
"20","CD#"
"21","34D#"
"22","456D#"
"23","456"
"24","13456LC#"
"25","23456LC#"
"26","123456LC#"
"27","234D#"
"28a","CD#"
"28b","D#"
"29","34D#"
"30","1234FD#"
"31","23G#45FD#"
"32","13456LC#"
"33","2Bb3456LC#"
"34","123456LC#"
"35","123456"
"36","23456"
"37","123456"
"38","23D#"
"39","23456"
"40","2346"
"41","123FD#"
"42","123456D#"
"43","23456D#"
"44","123456D#"
"45","12356D#"
"46","2356D#"
"47","123456D#"
"48","23456D#"
"49a","123G#FD#"
"49b","23G#D#"
"49c","2Bb36LC#"
"50","12345D#"
"51","12345D#"
"52","1256D#"
"53","12456D#"
"54","123G#45D#"
"55a","12345D#"
"55b","1245D#"
"56a","12Bb3G#56D#"
"56b","12FD#"
"57","12345FD#"
"58","12345F6D# or 12345F6"
"59","12346D#"
"60","12345FD#"
"61","12345F6D#"
"62","12346D#"
"63","1245FD#"
"64a","12345FD#"
"64b","12Bb345D#"
"65","124D#"
"66","12BbG#56D#"
"67a","12456LC#"
"67b","12Bb345LC#"
"68a","156D#"
"68b","1234D#"
"69","1234FD#"
"70","1234D# or 1234"
"71","1234FD#"
"72","1234D#"
"73","12356D#"
"74","124"
"75","12Bb34"
"76","1234"
"77","12Bb34FD#"
"78a","14D#"
"78b","145FD#"
"79a","13456"
"79b","1BbG#56D#"
"79c","1G#45D#"
"80","123D#"
"81","123D#"
"82a","13"
"82b","1Bb3FD#"
"83","123"
"84","12Bb3"
"85a","12Bb3FD#"
"85b","136D#"
"86","23456LC#LC or 2Bb3456LC#LC"
"87","13456LC#LC"
"88","12Bb3LC#"
"89","123G#D#"
"90","123G#D#"
"91","1246D#"
"92","124D#"
"93","123G#456LC#"
"94","36D#"
"95","3"
"96","Bb34"
"97","23456LC#"
"98","12D#"
"99","12D#"
"100","12Bb3D#"
"101","12456LC#"
"102","23G#45"
"103","2345"
"104","23G#456"
"105","23456"
"106","12BbD#"
"107","13D#"
"108","12Bb3G#D#"
"109","12456D#"
"110","123456D#"
"111","12BbD#"
"112","13D#"
"113","2G#45F"
"114","23G#4F"
"115","2G#4F"
"116","123456LC#LCLB"
"117","1D#"
"118","12Bb3456LC#LCLB"
"119","13456D#"
"120","1D#"
"121a","12345D#"
"121b","23456D#"
"122","12Bb3456LC#LCLB"
"123","1246LB"
"124","2G#4"

